"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Lane Community College","Eugene","OR","two year",21061687,6201,"public"
"Lewis & Clark College","Portland","OR","four year",73496661,6466,"private NFP"
"Linn-Benton Community College","Albany","OR","two year",3863340,5393,"public"
"Marylhurst University","Marylhurst","OR","four year",19856159,8124,"private NFP"
"Mount Angel Semiry","Saint Benedict","OR","four year",2573988,NA,"private NFP"
"Mt Hood Community College","Gresham","OR","two year",5589000,5155,"public"
"Multnomah University","Portland","OR","four year",6644000,5090,"private NFP"
"tiol College of tural Medicine","Portland","OR","four year",12637652,NA,"private NFP"
"Northwest Christian University","Eugene","OR","four year",4860163,7091,"private NFP"
"Oregon Institute of Technology","Klamath Falls","OR","four year",8571174,6133,"public"
"Oregon College of Art and Craft","Portland","OR","four year",2313506,10957,"private NFP"
"University of Oregon","Eugene","OR","four year",223306032,5843,"public"
"Pacific Northwest College of Art","Portland","OR","four year",8245283,6890,"private NFP"
"Pacific University","Forest Grove","OR","four year",65148036,6270,"private NFP"
"Portland Community College","Portland","OR","two year",26108152,5934,"public"
"Portland State University","Portland","OR","four year",126721699,6042,"public"
"University of Portland","Portland","OR","four year",61505760,6407,"private NFP"
"Reed College","Portland","OR","four year",32909991,4255,"private NFP"
"Southern Oregon University","Ashland","OR","four year",14002719,5543,"public"
"Treasure Valley Community College","Ontario","OR","two year",6680714,5174,"public"
"Warner Pacific College","Portland","OR","four year",6122593,6343,"private NFP"
"Corban College","Salem","OR","four year",9684243,8267,"private NFP"
"Willamette University","Salem","OR","four year",49107919,6365,"private NFP"
"Western Oregon University","Monmouth","OR","four year",17939514,5831,"public"
"Western States Chiropractic College","Portland","OR","four year",11943588,9704,"private NFP"
"Abington Memorial Hospital Dixon School of Nursing","Willow Grove","PA","two year",609975,NA,"private NFP"
"Bryn Athyn College of the New Church","Bryn Athyn","PA","four year",428534,3271,"private NFP"
"Albright College","Reading","PA","four year",27330897,8764,"private NFP"
"Allegheny College","Meadville","PA","four year",33329469,8093,"private NFP"
"DeSales University","Center Valley","PA","four year",34959747,8726,"private NFP"
"Alvernia University","Reading","PA","four year",31889767,7336,"private NFP"
"American College","Bryn Mawr","PA","four year",18540601,NA,"private NFP"
"Baptist Bible College and Semiry","Clarks Summit","PA","four year",3702541,5975,"private NFP"
"Community College of Beaver County","Moca","PA","two year",4767652,4956,"public"
"Arcadia University","Glenside","PA","four year",48940000,9683,"private NFP"
"Biblical Theological Semiry","Hatfield","PA","four year",1906632,NA,"private NFP"
"Bloomsburg University of Pennsylvania","Bloomsburg","PA","four year",51442071,6624,"public"
"Bryn Mawr College","Bryn Mawr","PA","four year",28633000,5134,"private NFP"
"Bucknell University","Lewisburg","PA","four year",96716000,6269,"private NFP"
"Butler County Community College","Butler","PA","two year",6901657,2023,"public"
"Cabrini College","Radnor","PA","four year",39270686,13721,"private NFP"
"California University of Pennsylvania","California","PA","four year",45875538,6706,"public"
"Calvary Baptist Theological Semiry","Lansdale","PA","four year",381416,NA,"private NFP"
"Carlow University","Pittsburgh","PA","four year",21471368,7234,"private NFP"
"Carnegie Mellon University","Pittsburgh","PA","four year",318389009,6771,"private NFP"
"Cedar Crest College","Allentown","PA","four year",20244353,7728,"private NFP"
"Chatham University","Pittsburgh","PA","four year",28549569,6565,"private NFP"
"Chestnut Hill College","Philadelphia","PA","four year",20651274,7875,"private NFP"
"Cheyney University of Pennsylvania","Cheyney","PA","four year",1234847,7819,"public"
"Citizens School of Nursing","New Kensington","PA","two year",653760,9873,"private NFP"
"Conemaugh Valley Memorial Hospital","Johnstown","PA","two year",1076083,NA,"private NFP"
"Delaware County Community College","Media","PA","two year",26498737,4174,"public"
"Delaware Valley College","Doylestown","PA","four year",28929660,8619,"private NFP"
"Dickinson College","Carlisle","PA","four year",60834240,5737,"private NFP"
"Drexel University","Philadelphia","PA","four year",404865411,15746,"private NFP"
"Duquesne University","Pittsburgh","PA","four year",169675000,8441,"private NFP"
"East Stroudsburg University of Pennsylvania","East Stroudsburg","PA","four year",48008521,8423,"public"
"Eastern University","Saint Davids","PA","four year",41377294,7430,"private NFP"
"Edinboro University of Pennsylvania","Edinboro","PA","four year",32941367,6705,"public"
"Elizabethtown College","Elizabethtown","PA","four year",35734485,7107,"private NFP"
"Evangelical Theological Semiry","Myerstown","PA","four year",1133124,NA,"private NFP"
"Frankford Hospital School of Nursing","Philadelphia","PA","two year",1830594,7101,"private NFP"
"Franklin and Marshall College","Lancaster","PA","four year",65783964,6674,"private NFP"
"Gannon University","Erie","PA","four year",43441000,8010,"private NFP"
"Geneva College","Beaver Falls","PA","four year",16592649,7087,"private NFP"
"Gettysburg College","Gettysburg","PA","four year",63021895,5250,"private NFP"
"Gratz College","Melrose Park","PA","four year",3170778,NA,"private NFP"
"Grove City College","Grove City","PA","four year",26465179,8920,"private NFP"
"Gwynedd Mercy College","Gwynedd Valley","PA","four year",21862000,9220,"private NFP"
"Harcum College","Bryn Mawr","PA","two year",11115824,8357,"private NFP"
"Haverford College","Haverford","PA","four year",30509150,6666,"private NFP"
"Commonwealth Technical Institute","Johnstown","PA","two year",18385997,NA,"private NFP"
"Holy Family University","Philadelphia","PA","four year",32247769,8369,"private NFP"
"Immaculata University","Immaculata","PA","four year",35732724,9626,"private NFP"
"Jameson Health System","New Castle","PA","two year",274691,NA,"private NFP"
"Johnson College","Scranton","PA","two year",4241457,6822,"private NFP"
"Juniata College","Huntingdon","PA","four year",20997749,8145,"private NFP"
"Keystone College","La Plume","PA","four year",11971809,8351,"private NFP"
"King's College","Wilkes Barre","PA","four year",29271424,8728,"private NFP"
"Kutztown University of Pennsylvania","Kutztown","PA","four year",55127878,6915,"public"
"La Roche College","Pittsburgh","PA","four year",13660686,9475,"private NFP"
"Lackawan College","Scranton","PA","two year",9408919,6477,"private NFP"
"Lafayette College","Easton","PA","four year",55971777,6073,"private NFP"
"Lancaster Bible College and Graduate School","Lancaster","PA","four year",6043017,6078,"private NFP"
"Lancaster Theological Semiry","Lancaster","PA","four year",691611,NA,"private NFP"
"Lebanon Valley College","Annville","PA","four year",28297372,8477,"private NFP"
"Lehigh Carbon Community College","Schnecksville","PA","two year",14123235,4555,"public"
"Lehigh University","Bethlehem","PA","four year",140838000,7357,"private NFP"
"Lincoln University of Pennsylvania","Lincoln University","PA","four year",17728360,8056,"public"
"St Margaret School of Nursing","Pittsburgh","PA","two year",234739,8336,"private NFP"
"Lutheran Theological Semiry at Philadelphia","Philadelphia","PA","four year",1275354,NA,"private NFP"
"Luzerne County Community College","nticoke","PA","two year",21573963,3808,"public"
"Lycoming College","Williamsport","PA","four year",17033858,7488,"private NFP"
"Manor College","Jenkintown","PA","two year",5466182,3759,"private NFP"
"Mansfield University of Pennsylvania","Mansfield","PA","four year",14943388,6838,"public"
"Marywood University","Scranton","PA","four year",38305827,8163,"private NFP"
"Mercyhurst College","Erie","PA","four year",34191969,7443,"private NFP"
"Messiah College","Grantham","PA","four year",44513228,7708,"private NFP"
"Metropolitan Career Center Computer Technology Institute","Philadelphia","PA","two year",487044,8737,"private NFP"
"Millersville University of Pennsylvania","Millersville","PA","four year",44650285,6673,"public"
"Misericordia University","Dallas","PA","four year",27664307,7790,"private NFP"
"Moore College of Art and Design","Philadelphia","PA","four year",10528167,8646,"private NFP"
"Mount Aloysius College","Cresson","PA","four year",12747618,7131,"private NFP"
"Muhlenberg College","Allentown","PA","four year",56087055,6816,"private NFP"
"Neumann University","Aston","PA","four year",38453399,8065,"private NFP"
"Salus University","Elkins Park","PA","four year",22966894,NA,"private NFP"
"Pennsylvania Institute of Technology","Media","PA","two year",6524560,4756,"private NFP"
"Peirce College","Philadelphia","PA","four year",13722806,8247,"private NFP"
"Pennsylvania Academy of the Fine Arts","Philadelphia","PA","four year",5830314,6992,"private NFP"
"Pennsylvania College of Art and Design","Lancaster","PA","four year",4049933,7633,"private NFP"
"University of Pennsylvania","Philadelphia","PA","four year",711106000,5567,"private NFP"
"Philadelphia University","Philadelphia","PA","four year",54117503,7564,"private NFP"
"The University of the Arts","Philadelphia","PA","four year",45268837,9784,"private NFP"
"Philadelphia College of Osteopathic Medicine","Philadelphia","PA","four year",67254619,NA,"private NFP"
"University of the Sciences in Philadelphia","Philadelphia","PA","four year",61677262,13274,"private NFP"
"Community College of Philadelphia","Philadelphia","PA","two year",21672421,3911,"public"
"Pittsburgh Institute of Aeroutics","West Mifflin","PA","two year",6146153,6727,"private NFP"
"Pittsburgh Institute of Mortuary Science Inc","Pittsburgh","PA","two year",1746860,7931,"private NFP"
"Pittsburgh Theological Semiry","Pittsburgh","PA","four year",669451,NA,"private NFP"
"Point Park University","Pittsburgh","PA","four year",44266291,6957,"private NFP"
"Schuylkill Health School of Nursing","Pottsville","PA","two year",135745,NA,"private NFP"
"Reading Area Community College","Reading","PA","two year",4964579,3470,"public"
"The Reading Hospital School of Health Sciences","Reading","PA","two year",14000,6416,"private NFP"
"Reconstructionist Rabbinical College","Wyncote","PA","four year",177618,NA,"private NFP"
"Reformed Presbyterian Theological Semiry","Pittsburgh","PA","four year",400723,NA,"private NFP"
"Robert Morris University","Moon Township","PA","four year",54362426,7272,"private NFP"
"Rosedale Technical Institute","Pittsburgh","PA","two year",4317018,9346,"private NFP"
"Rosemont College","Rosemont","PA","four year",7274991,9695,"private NFP"
"Saint Francis University","Loretto","PA","four year",27040247,8204,"private NFP"
"Saint Joseph's University","Philadelphia","PA","four year",132618870,10082,"private NFP"
"University of Scranton","Scranton","PA","four year",91072745,8349,"private NFP"
"Seton Hill University","Greensburg","PA","four year",18734767,9530,"private NFP"
"Heritage Valley Sewickley School of Nursing","Moon Twp","PA","two year",504711,7000,"private NFP"
"University of Pittsburgh Medical Center-Shadyside School of Nursing","Pittsburgh","PA","two year",714477,3813,"private NFP"
"Shippensburg University of Pennsylvania","Shippensburg","PA","four year",42180285,6406,"public"
"Slippery Rock University of Pennsylvania","Slippery Rock","PA","four year",39658857,6501,"public"
"Saint Charles Borromeo Semiry-Overbrook","Wynnewood","PA","four year",1465453,4200,"private NFP"
"St Lukes Hospital School of Nursing","Bethlehem","PA","two year",572146,NA,"private NFP"
"Susquehan University","Selinsgrove","PA","four year",38253584,5797,"private NFP"
"Swarthmore College","Swarthmore","PA","four year",33151000,5487,"private NFP"
"Talmudical Yeshiva of Philadelphia","Philadelphia","PA","four year",1589362,NA,"private NFP"
"Temple University","Philadelphia","PA","four year",493750370,7235,"public"
"Thiel College","Greenville","PA","four year",6697021,8759,"private NFP"
"Thomas Jefferson University","Philadelphia","PA","four year",88236861,NA,"private NFP"
"Trinity Episcopal School for Ministry","Ambridge","PA","four year",375673,NA,"private NFP"
"Ursinus College","Collegeville","PA","four year",31924651,7295,"private NFP"
"Valley Forge Christian College","Phoenixville","PA","four year",7765869,7120,"private NFP"
"Valley Forge Military College","Wayne","PA","two year",8153930,6257,"private NFP"
"Villanova University","Villanova","PA","four year",239681959,12494,"private NFP"
"Washington Hospital School of Nursing","Washington","PA","two year",269366,5556,"private NFP"
"Washington Hospital School of Radiography","Washington","PA","two year",231507,NA,"private NFP"
"Washington & Jefferson College","Washington","PA","four year",22685130,8427,"private NFP"
